avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.84,0.84,6.35,1,0.08,-84,84,0.0,0.0,0.0,0.08
-0.8,0.8,6.13,0.9900493386913721,0.1,-164,164,0.0,0.0,0.0,0.09
-0.78,0.78,5.41,0.980197693043223,0.11,-242,242,0.0,0.0,0.0,0.09666666666666666
-0.36,0.36,6.84,0.970444077784251,0.32,-278,278,0.0,0.0,0.0,0.1525
-0.74,0.74,6.66,0.9607875174472562,0.13,-352,352,0.0,0.0,0.0,0.148
-0.62,0.62,6.82,0.9512270462715811,0.19,-414,414,0.0,0.0,0.0,0.155
-0.44,0.44,6.98,0.9417617081065252,0.28,-458,458,0.0,0.0,0.0,0.17285714285714285
-0.3,0.3,7.12,0.9323905563157222,0.35,-488,488,0.0,0.0,0.0,0.195
-0.44,0.44,6.24,0.9231126536824614,0.28,-532,532,0.0,0.0,0.0,0.20444444444444446
-0.54,0.54,6.3,0.9139270723159584,0.23,-586,586,0.0,0.0,0.0,0.207
-0.46,0.46,5.8,0.9048328935585562,0.27,-692,692,0.0,0.0,0.0,0.21166666666666667
-0.96,0.96,5.22,0.8958292078938495,0.02,-788,788,0.0,0.0,0.0,0.19692307692307692
-0.82,0.82,6.08,0.886915114855721,0.09,-870,870,0.0,0.0,0.0,0.18928571428571428
-0.88,0.88,5.39,0.8780897229382887,0.06,-958,958,0.0,0.0,0.0,0.18066666666666667
-0.92,0.92,5.36,0.8693521495067424,0.04,-1050,1050,0.0,0.0,0.0,0.171875
-0.92,0.92,5.07,0.8607015207090729,0.04,-1142,1142,0.0,0.0,0.0,0.16411764705882353
-0.94,0.94,5.48,0.8521369713886755,0.03,-1236,1236,0.0,0.0,0.0,0.15666666666666668
-0.88,0.88,5.38,0.843657644997827,0.06,-1324,1324,0.0,0.0,0.0,0.15157894736842106
-0.9,0.9,5.56,0.8352626935120188,0.05,-1414,1414,0.0,0.0,0.0,0.1465
-0.88,0.88,5.76,0.8269512773451482,0.06,-1502,1502,0.0,0.0,0.0,0.14238095238095239
-0.9,0.9,5.7,0.8187225652655491,0.05,-1688,1688,0.0,0.0,0.0,0.13304347826086957
-0.98,0.98,5.35,0.8105757343128605,0.01,-1786,1786,0.0,0.0,0.0,0.12791666666666668
-0.94,0.94,5.56,0.8025099697157205,0.03,-1880,1880,0.0,0.0,0.0,0.124
-0.84,0.84,6.02,0.7945244648102819,0.08,-1964,1964,0.0,0.0,0.0,0.12230769230769231
-1.0,1.0,4.9,0.7866184209595359,0.08,-2064,2064,0.0,0.0,0.0,0.11777777777777777
-0.98,0.98,5.38,0.7787910474734399,0.01,-2162,2162,0.0,0.0,0.0,0.11392857142857143
-0.96,0.96,5.42,0.7710415615298397,0.02,-2258,2258,0.0,0.0,0.0,0.11068965517241379
-0.98,0.98,4.87,0.7633691880961806,0.01,-2356,2356,0.0,0.0,0.0,0.10733333333333334
-1.0,1.0,5.5,0.7557731598519929,0.01,-2456,2456,0.0,0.0,0.0,0.10387096774193548
-0.88,0.88,6.15,0.748252717112154,0.06,-2544,2544,0.0,0.0,0.0,0.1025
-0.72,0.72,6.17,0.74080710775091,0.14,-2706,2706,0.0,0.0,0.0,0.10205882352941177
-0.94,0.94,5.62,0.7334355871266565,0.03,-2800,2800,0.0,0.0,0.0,0.1
-0.74,0.74,6.31,0.7261374180074647,0.13,-2874,2874,0.0,0.0,0.0,0.10083333333333333
-0.78,0.78,6.23,0.7189118704973512,0.11,-2952,2952,0.0,0.0,0.0,0.10108108108108108
-0.82,0.82,5.68,0.7117582219632792,0.09,-3034,3034,0.0,0.0,0.0,0.10078947368421053
-0.84,0.84,6.53,0.7046757569628911,0.08,-3118,3118,0.0,0.0,0.0,0.10025641025641026
-0.88,0.88,5.81,0.697663767172952,0.06,-3206,3206,0.0,0.0,0.0,0.09925
-0.88,0.88,6.87,0.6907215513185129,0.06,-3294,3294,0.0,0.0,0.0,0.09829268292682927
-0.92,0.92,5.26,0.6838484151027725,0.04,-3386,3386,0.0,0.0,0.0,0.09690476190476191
-0.96,0.96,6.1,0.6770436711376424,0.02,-3482,3482,0.0,0.0,0.0,0.09511627906976744
-0.82,0.82,5.97,0.6703066388750015,0.09,-3646,3646,0.0,0.0,0.0,0.09488888888888888
-0.86,0.86,6.5,0.6636366445386316,0.07,-3732,3732,0.0,0.0,0.0,0.09434782608695652
-0.8,0.8,6.13,0.657033021056833,0.1,-3812,3812,0.0,0.0,0.0,0.09446808510638298
-0.76,0.76,6.26,0.6504951079957114,0.12,-3888,3888,0.0,0.0,0.0,0.095
-0.82,0.82,6.06,0.6440222514931265,0.09,-3970,3970,0.0,0.0,0.0,0.09489795918367347
-0.9,0.9,6.77,0.6376138041932984,0.05,-4060,4060,0.0,0.0,0.0,0.094
-0.96,0.96,5.71,0.6312691251820646,0.02,-4156,4156,0.0,0.0,0.0,0.09254901960784313
-0.94,0.94,5.95,0.6249875799227835,0.03,-4250,4250,0.0,0.0,0.0,0.09134615384615384
-0.98,0.98,6.26,0.6187685401928729,0.01,-4348,4348,0.0,0.0,0.0,0.08981132075471698
-0.98,0.98,5.7,0.6126113840209793,0.01,-4446,4446,0.0,0.0,0.0,0.08833333333333333
-0.9,0.9,6.31,0.6065154956247766,0.05,-4624,4624,0.0,0.0,0.0,0.08714285714285715
