avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.7,0.7,6.42,1,0.15,-70,70,0.0,0.0,0.0,0.15
-0.76,0.76,6.53,0.9900493386913721,0.12,-146,146,0.0,0.0,0.0,0.135
-0.68,0.68,6.74,0.980197693043223,0.16,-214,214,0.0,0.0,0.0,0.14333333333333334
-0.88,0.88,5.07,0.970444077784251,0.06,-302,302,0.0,0.0,0.0,0.1225
-0.64,0.64,6.6,0.9607875174472562,0.18,-366,366,0.0,0.0,0.0,0.134
-0.72,0.72,6.72,0.9512270462715811,0.14,-438,438,0.0,0.0,0.0,0.135
-0.52,0.52,7.57,0.9417617081065252,0.24,-490,490,0.0,0.0,0.0,0.15
-0.68,0.68,6.52,0.9323905563157222,0.16,-558,558,0.0,0.0,0.0,0.15125
-0.68,0.68,6.58,0.9231126536824614,0.16,-626,626,0.0,0.0,0.0,0.15222222222222223
-0.68,0.68,6.72,0.9139270723159584,0.16,-694,694,0.0,0.0,0.0,0.153
-0.78,0.78,5.9,0.9048328935585562,0.11,-772,772,0.0,0.0,0.0,0.14909090909090908
-0.64,0.64,7.15,0.8958292078938495,0.18,-836,836,0.0,0.0,0.0,0.15166666666666667
-0.72,0.72,6.18,0.886915114855721,0.14,-908,908,0.0,0.0,0.0,0.15076923076923077
-0.62,0.62,6.81,0.8780897229382887,0.19,-970,970,0.0,0.0,0.0,0.15357142857142858
-0.68,0.68,7.13,0.8693521495067424,0.16,-1038,1038,0.0,0.0,0.0,0.154
-0.5,0.5,7.0,0.8607015207090729,0.25,-1088,1088,0.0,0.0,0.0,0.16
-0.58,0.58,7.29,0.8521369713886755,0.21,-1146,1146,0.0,0.0,0.0,0.16294117647058823
-0.48,0.48,6.53,0.843657644997827,0.26,-1194,1194,0.0,0.0,0.0,0.16833333333333333
-0.54,0.54,7.01,0.8352626935120188,0.23,-1248,1248,0.0,0.0,0.0,0.17157894736842105
-0.5,0.5,7.14,0.8269512773451482,0.25,-1298,1298,0.0,0.0,0.0,0.1755
-0.4,0.4,6.75,0.8187225652655491,0.3,-1338,1338,0.0,0.0,0.0,0.18142857142857144
-0.54,0.54,7.1,0.8105757343128605,0.23,-1392,1392,0.0,0.0,0.0,0.18363636363636363
-0.44,0.44,7.55,0.8025099697157205,0.28,-1436,1436,0.0,0.0,0.0,0.18782608695652173
-0.44,0.44,6.97,0.7945244648102819,0.28,-1480,1480,0.0,0.0,0.0,0.19166666666666668
-0.52,0.52,6.83,0.7866184209595359,0.24,-1532,1532,0.0,0.0,0.0,0.1936
-0.52,0.52,6.89,0.7787910474734399,0.24,-1584,1584,0.0,0.0,0.0,0.19538461538461538
-0.44,0.44,7.12,0.7710415615298397,0.28,-1628,1628,0.0,0.0,0.0,0.1985185185185185
-0.62,0.62,6.59,0.7633691880961806,0.19,-1690,1690,0.0,0.0,0.0,0.1982142857142857
-0.74,0.74,5.96,0.7557731598519929,0.13,-1764,1764,0.0,0.0,0.0,0.19586206896551725
-0.54,0.54,7.39,0.748252717112154,0.23,-1818,1818,0.0,0.0,0.0,0.197
-0.58,0.58,6.71,0.74080710775091,0.21,-1876,1876,0.0,0.0,0.0,0.19741935483870968
-0.7,0.7,6.57,0.7334355871266565,0.15,-1946,1946,0.0,0.0,0.0,0.1959375
-0.64,0.64,7.14,0.7261374180074647,0.18,-2010,2010,0.0,0.0,0.0,0.19545454545454546
-0.66,0.66,7.01,0.7189118704973512,0.17,-2076,2076,0.0,0.0,0.0,0.19470588235294117
-0.48,0.48,7.14,0.7117582219632792,0.26,-2124,2124,0.0,0.0,0.0,0.19657142857142856
-0.7,0.7,6.62,0.7046757569628911,0.15,-2194,2194,0.0,0.0,0.0,0.19527777777777777
-0.7,0.7,7.04,0.697663767172952,0.15,-2264,2264,0.0,0.0,0.0,0.19405405405405404
-0.82,0.82,6.19,0.6907215513185129,0.09,-2346,2346,0.0,0.0,0.0,0.19131578947368422
-0.66,0.66,7.17,0.6838484151027725,0.17,-2412,2412,0.0,0.0,0.0,0.19076923076923077
-0.72,0.72,7.02,0.6770436711376424,0.14,-2484,2484,0.0,0.0,0.0,0.1895
-0.6,0.6,7.49,0.6703066388750015,0.2,-2544,2544,0.0,0.0,0.0,0.1897560975609756
-0.64,0.64,6.99,0.6636366445386316,0.18,-2608,2608,0.0,0.0,0.0,0.1895238095238095
-0.48,0.48,6.77,0.657033021056833,0.26,-2656,2656,0.0,0.0,0.0,0.19116279069767442
-0.76,0.76,6.2,0.6504951079957114,0.12,-2732,2732,0.0,0.0,0.0,0.18954545454545454
-0.88,0.88,6.11,0.6440222514931265,0.06,-2820,2820,0.0,0.0,0.0,0.18666666666666668
-0.68,0.68,7.2,0.6376138041932984,0.16,-2888,2888,0.0,0.0,0.0,0.18608695652173912
-0.82,0.82,6.23,0.6312691251820646,0.09,-2970,2970,0.0,0.0,0.0,0.18404255319148935
