avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.58,0.58,5.37,1,0.21,-58,58,0.0,0.0,0.0,0.21
-0.52,0.52,6.16,0.9900493386913721,0.24,-110,110,0.0,0.0,0.0,0.225
-0.5,0.5,6.26,0.980197693043223,0.25,-160,160,0.0,0.0,0.0,0.23333333333333334
-0.72,0.72,5.46,0.970444077784251,0.14,-232,232,0.0,0.0,0.0,0.21
-0.4,0.4,6.37,0.9607875174472562,0.3,-272,272,0.0,0.0,0.0,0.228
-0.54,0.54,6.2,0.9512270462715811,0.23,-326,326,0.0,0.0,0.0,0.22833333333333333
-0.76,0.76,6.26,0.9417617081065252,0.12,-402,402,0.0,0.0,0.0,0.21285714285714286
-0.56,0.56,6.66,0.9323905563157222,0.22,-458,458,0.0,0.0,0.0,0.21375
-0.58,0.58,6.29,0.9231126536824614,0.21,-516,516,0.0,0.0,0.0,0.21333333333333335
-0.64,0.64,6.73,0.9139270723159584,0.18,-580,580,0.0,0.0,0.0,0.21
-0.64,0.64,5.79,0.9048328935585562,0.18,-716,716,0.0,0.0,0.0,0.20166666666666666
-0.6,0.6,6.05,0.8958292078938495,0.2,-776,776,0.0,0.0,0.0,0.20153846153846153
-0.5,0.5,6.34,0.886915114855721,0.25,-826,826,0.0,0.0,0.0,0.205
-0.6,0.6,6.5,0.8780897229382887,0.2,-886,886,0.0,0.0,0.0,0.20466666666666666
-0.36,0.36,6.53,0.8693521495067424,0.32,-922,922,0.0,0.0,0.0,0.211875
-0.2,0.2,6.43,0.8607015207090729,0.4,-942,942,0.0,0.0,0.0,0.22294117647058823
-0.26,0.26,6.22,0.8521369713886755,0.37,-968,968,0.0,0.0,0.0,0.2311111111111111
-0.34,0.34,6.2,0.843657644997827,0.33,-1002,1002,0.0,0.0,0.0,0.2363157894736842
-0.14,0.14,6.36,0.8352626935120188,0.43,-1016,1016,0.0,0.0,0.0,0.246
-0.34,0.34,6.04,0.8269512773451482,0.33,-1050,1050,0.0,0.0,0.0,0.25
-0.18,0.18,6.65,0.8187225652655491,0.41,-1098,1098,0.0,0.0,0.0,0.26130434782608697
-0.32,0.32,6.07,0.8105757343128605,0.34,-1130,1130,0.0,0.0,0.0,0.26458333333333334
-0.16,0.16,6.35,0.8025099697157205,0.42,-1146,1146,0.0,0.0,0.0,0.2708
-0.26,0.26,6.3,0.7945244648102819,0.37,-1172,1172,0.0,0.0,0.0,0.2746153846153846
-0.22,0.22,6.31,0.7866184209595359,0.39,-1194,1194,0.0,0.0,0.0,0.2788888888888889
-0.14,0.14,6.52,0.7787910474734399,0.43,-1208,1208,0.0,0.0,0.0,0.2842857142857143
-0.28,0.28,6.21,0.7710415615298397,0.36,-1236,1236,0.0,0.0,0.0,0.2868965517241379
-0.3,0.3,5.87,0.7633691880961806,0.35,-1266,1266,0.0,0.0,0.0,0.289
-0.32,0.32,6.04,0.7557731598519929,0.34,-1298,1298,0.0,0.0,0.0,0.2906451612903226
-0.38,0.38,5.77,0.748252717112154,0.31,-1336,1336,0.0,0.0,0.0,0.29125
-0.24,0.24,6.48,0.74080710775091,0.38,-1378,1378,0.0,0.0,0.0,0.2973529411764706
-0.32,0.32,6.27,0.7334355871266565,0.34,-1410,1410,0.0,0.0,0.0,0.2985714285714286
0.22,-0.22,6.16,0.7261374180074647,0.61,-1388,1388,0.0,0.0,0.0,0.30722222222222223
0.18,-0.18,6.11,0.7189118704973512,0.59,-1370,1370,0.0,0.0,0.0,0.31486486486486487
0.42,-0.42,6.65,0.7117582219632792,0.71,-1328,1328,0.0,0.0,0.0,0.32526315789473687
0.24,-0.24,6.12,0.7046757569628911,0.62,-1304,1304,0.0,0.0,0.0,0.33282051282051284
0.32,-0.32,6.34,0.697663767172952,0.66,-1272,1272,0.0,0.0,0.0,0.341
0.22,-0.22,6.12,0.6907215513185129,0.61,-1250,1250,0.0,0.0,0.0,0.3475609756097561
0.22,-0.22,6.28,0.6838484151027725,0.61,-1228,1228,0.0,0.0,0.0,0.3538095238095238
0.12,-0.12,5.9,0.6770436711376424,0.56,-1216,1216,0.0,0.0,0.0,0.3586046511627907
0.16,-0.16,6.14,0.6703066388750015,0.58,-1184,1184,0.0,0.0,0.0,0.36844444444444446
0.16,-0.16,5.98,0.6636366445386316,0.58,-1168,1168,0.0,0.0,0.0,0.3730434782608696
0.2,-0.2,6.21,0.657033021056833,0.6,-1148,1148,0.0,0.0,0.0,0.3778723404255319
0.14,-0.14,5.97,0.6504951079957114,0.57,-1134,1134,0.0,0.0,0.0,0.381875
0.1,-0.1,5.93,0.6440222514931265,0.55,-1124,1124,0.0,0.0,0.0,0.3853061224489796
0.44,-0.44,5.67,0.6376138041932984,0.72,-1080,1080,0.0,0.0,0.0,0.392
0.44,-0.44,5.55,0.6312691251820646,0.72,-1036,1036,0.0,0.0,0.0,0.3984313725490196
0.84,-0.84,5.29,0.6249875799227835,0.92,-952,952,0.0,0.0,0.0,0.4084615384615385
0.68,-0.68,5.36,0.6187685401928729,0.84,-884,884,0.0,0.0,0.0,0.41660377358490563
0.82,-0.82,5.25,0.6126113840209793,0.91,-802,802,0.0,0.0,0.0,0.42574074074074075
0.82,-0.82,5.1,0.6065154956247766,0.91,-644,644,0.0,0.0,0.0,0.4425
0.76,-0.76,5.26,0.6004802653493791,0.88,-568,568,0.0,0.0,0.0,0.45017543859649123
0.8,-0.8,5.11,0.594505089606372,0.9,-488,488,0.0,0.0,0.0,0.4579310344827586
0.64,-0.64,4.95,0.5885893708134431,0.82,-424,424,0.0,0.0,0.0,0.4640677966101695
0.92,-0.92,5.35,0.5827325173346204,0.96,-332,332,0.0,0.0,0.0,0.4723333333333333
0.88,-0.88,5.37,0.5769339434210992,0.94,-244,244,0.0,0.0,0.0,0.48
0.76,-0.76,5.23,0.5711930691526644,0.88,-168,168,0.0,0.0,0.0,0.4864516129032258
0.78,-0.78,5.2,0.565509320379691,0.89,-90,90,0.0,0.0,0.0,0.4928571428571429
0.84,-0.84,5.24,0.5598821286657205,0.92,-6,6,0.0,0.0,0.0,0.49953125
0.78,-0.78,5.23,0.5543109312306146,0.89,72,-72,0.0,0.0,0.0,0.5055384615384615
0.78,-0.78,5.33,0.5487951708942683,0.89,226,-226,0.0,0.0,0.0,0.5168656716417911
0.7,-0.7,5.09,0.5433342960208886,0.85,296,-296,0.0,0.0,0.0,0.5217647058823529
0.84,-0.84,5.26,0.5379277604638235,0.92,380,-380,0.0,0.0,0.0,0.527536231884058
0.88,-0.88,5.31,0.5325750235109391,0.94,468,-468,0.0,0.0,0.0,0.5334285714285715
0.78,-0.78,5.15,0.5272755498305473,0.89,546,-546,0.0,0.0,0.0,0.5384507042253521
0.82,-0.82,5.18,0.5220288094178624,0.91,628,-628,0.0,0.0,0.0,0.5436111111111112
0.82,-0.82,5.29,0.5168342775419988,0.91,710,-710,0.0,0.0,0.0,0.5486301369863014
0.8,-0.8,5.22,0.5116914346934888,0.9,790,-790,0.0,0.0,0.0,0.5533783783783783
0.12,-0.12,5.67,0.506599766532328,0.56,802,-802,0.0,0.0,0.0,0.5534666666666667
0.14,-0.14,5.68,0.5015587638365347,0.57,816,-816,0.0,0.0,0.0,0.5536842105263158
0.5,-0.5,5.32,0.496567922451223,0.75,942,-942,0.0,0.0,0.0,0.5603846153846154
0.82,-0.82,5.25,0.4916267432381818,0.91,1024,-1024,0.0,0.0,0.0,0.5648101265822785
0.76,-0.76,5.17,0.4867347320259549,0.88,1100,-1100,0.0,0.0,0.0,0.56875
0.68,-0.68,5.09,0.48189139956041893,0.84,1168,-1168,0.0,0.0,0.0,0.5720987654320988
0.72,-0.72,5.12,0.4770962614558525,0.86,1240,-1240,0.0,0.0,0.0,0.5756097560975609
0.78,-0.78,5.09,0.4723488381464926,0.89,1318,-1318,0.0,0.0,0.0,0.5793975903614458
0.9,-0.9,5.41,0.467648654838573,0.95,1408,-1408,0.0,0.0,0.0,0.5838095238095238
0.78,-0.78,5.15,0.46299524146283894,0.89,1486,-1486,0.0,0.0,0.0,0.5874117647058823
0.86,-0.86,5.31,0.4583881326275357,0.93,1572,-1572,0.0,0.0,0.0,0.5913953488372093
0.86,-0.86,5.11,0.45382686757186447,0.93,1658,-1658,0.0,0.0,0.0,0.595287356321839
0.72,-0.72,4.96,0.4493109901199013,0.86,1802,-1802,0.0,0.0,0.0,0.6012359550561798
0.84,-0.84,5.19,0.44484004863497356,0.92,1886,-1886,0.0,0.0,0.0,0.6047777777777777
0.84,-0.84,5.26,0.4404135959744933,0.92,1970,-1970,0.0,0.0,0.0,0.6082417582417582
0.78,-0.78,5.26,0.4360311894452362,0.89,2048,-2048,0.0,0.0,0.0,0.611304347826087
0.86,-0.86,5.24,0.4316923907590687,0.93,2134,-2134,0.0,0.0,0.0,0.6147311827956989
-0.62,0.62,6.42,0.42739676598911336,0.19,2072,-2072,0.0,0.0,0.0,0.6102127659574468
