avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.86,0.86,6.13,1,0.07,-86,86,0.0,0.0,0.0,0.07
-0.72,0.72,6.02,0.9900493386913721,0.14,-158,158,0.0,0.0,0.0,0.105
-0.74,0.74,6.53,0.980197693043223,0.13,-232,232,0.0,0.0,0.0,0.11333333333333333
-0.74,0.74,6.63,0.970444077784251,0.13,-306,306,0.0,0.0,0.0,0.1175
-0.6,0.6,7.08,0.9607875174472562,0.2,-366,366,0.0,0.0,0.0,0.134
-0.6,0.6,7.28,0.9512270462715811,0.2,-426,426,0.0,0.0,0.0,0.145
-0.74,0.74,6.59,0.9417617081065252,0.13,-500,500,0.0,0.0,0.0,0.14285714285714285
-0.68,0.68,7.02,0.9323905563157222,0.16,-568,568,0.0,0.0,0.0,0.145
-0.62,0.62,6.69,0.9231126536824614,0.19,-630,630,0.0,0.0,0.0,0.15
-0.72,0.72,6.77,0.9139270723159584,0.14,-702,702,0.0,0.0,0.0,0.149
-0.72,0.72,6.15,0.9048328935585562,0.14,-774,774,0.0,0.0,0.0,0.1481818181818182
-0.7,0.7,6.45,0.8958292078938495,0.15,-844,844,0.0,0.0,0.0,0.14833333333333334
-0.84,0.84,6.02,0.886915114855721,0.08,-928,928,0.0,0.0,0.0,0.14307692307692307
-0.7,0.7,6.91,0.8780897229382887,0.15,-998,998,0.0,0.0,0.0,0.14357142857142857
-0.64,0.64,6.98,0.8693521495067424,0.18,-1062,1062,0.0,0.0,0.0,0.146
-0.66,0.66,6.69,0.8607015207090729,0.17,-1128,1128,0.0,0.0,0.0,0.1475
-0.66,0.66,7.04,0.8521369713886755,0.17,-1194,1194,0.0,0.0,0.0,0.14882352941176472
-0.7,0.7,7.09,0.843657644997827,0.15,-1264,1264,0.0,0.0,0.0,0.14888888888888888
-0.82,0.82,5.57,0.8352626935120188,0.09,-1346,1346,0.0,0.0,0.0,0.14578947368421052
-0.8,0.8,6.43,0.8269512773451482,0.1,-1426,1426,0.0,0.0,0.0,0.1435
-0.78,0.78,6.37,0.8187225652655491,0.11,-1504,1504,0.0,0.0,0.0,0.1419047619047619
-0.84,0.84,6.34,0.8105757343128605,0.08,-1588,1588,0.0,0.0,0.0,0.1390909090909091
-0.8,0.8,6.8,0.8025099697157205,0.1,-1668,1668,0.0,0.0,0.0,0.1373913043478261
-0.88,0.88,6.08,0.7945244648102819,0.06,-1756,1756,0.0,0.0,0.0,0.13416666666666666
-0.7,0.7,6.69,0.7866184209595359,0.15,-1826,1826,0.0,0.0,0.0,0.1348
-0.64,0.64,6.57,0.7787910474734399,0.18,-1890,1890,0.0,0.0,0.0,0.13653846153846153
-0.8,0.8,6.4,0.7710415615298397,0.1,-1970,1970,0.0,0.0,0.0,0.13518518518518519
-0.62,0.62,6.41,0.7633691880961806,0.19,-2032,2032,0.0,0.0,0.0,0.13714285714285715
-0.48,0.48,6.95,0.7557731598519929,0.26,-2080,2080,0.0,0.0,0.0,0.1413793103448276
-0.36,0.36,7.42,0.748252717112154,0.32,-2116,2116,0.0,0.0,0.0,0.14733333333333334
-0.46,0.46,7.06,0.74080710775091,0.27,-2162,2162,0.0,0.0,0.0,0.15129032258064515
-0.6,0.6,6.31,0.7334355871266565,0.2,-2222,2222,0.0,0.0,0.0,0.1528125
-0.46,0.46,6.92,0.7261374180074647,0.27,-2268,2268,0.0,0.0,0.0,0.15636363636363637
-0.2,0.2,6.43,0.7189118704973512,0.4,-2288,2288,0.0,0.0,0.0,0.1635294117647059
-0.28,0.28,6.6,0.7117582219632792,0.36,-2316,2316,0.0,0.0,0.0,0.16914285714285715
0.1,-0.1,6.17,0.7046757569628911,0.55,-2306,2306,0.0,0.0,0.0,0.17972222222222223
-0.12,0.12,6.38,0.697663767172952,0.44,-2318,2318,0.0,0.0,0.0,0.18675675675675676
-0.28,0.28,5.94,0.6907215513185129,0.36,-2346,2346,0.0,0.0,0.0,0.19131578947368422
-0.14,0.14,6.24,0.6838484151027725,0.43,-2360,2360,0.0,0.0,0.0,0.19743589743589743
-0.04,0.04,6.66,0.6770436711376424,0.48,-2364,2364,0.0,0.0,0.0,0.2045
-0.32,0.32,5.86,0.6703066388750015,0.34,-2396,2396,0.0,0.0,0.0,0.20780487804878048
-0.14,0.14,6.29,0.6636366445386316,0.43,-2410,2410,0.0,0.0,0.0,0.2130952380952381
-0.04,0.04,5.74,0.657033021056833,0.48,-2414,2414,0.0,0.0,0.0,0.21930232558139534
1.0,-1.0,5.0,0.6504951079957114,1.0,-2314,2314,0.0,0.0,0.0,0.23704545454545456
1.0,-1.0,5.0,0.6440222514931265,1.0,-2214,2214,0.0,0.0,0.0,0.254
1.0,-1.0,5.0,0.6376138041932984,1.0,-2114,2114,0.0,0.0,0.0,0.27021739130434785
1.0,-1.0,5.0,0.6312691251820646,1.0,-2014,2014,0.0,0.0,0.0,0.2857446808510638
1.0,-1.0,5.0,0.6249875799227835,1.0,-1914,1914,0.0,0.0,0.0,0.300625
1.0,-1.0,5.0,0.6187685401928729,1.0,-1814,1814,0.0,0.0,0.0,0.31489795918367347
1.0,-1.0,5.0,0.6126113840209793,1.0,-1714,1714,0.0,0.0,0.0,0.3286
1.0,-1.0,5.0,0.6065154956247766,1.0,-1614,1614,0.0,0.0,0.0,0.3417647058823529
1.0,-1.0,5.0,0.6004802653493791,1.0,-1514,1514,0.0,0.0,0.0,0.3544230769230769
1.0,-1.0,5.0,0.594505089606372,1.0,-1414,1414,0.0,0.0,0.0,0.36660377358490565
1.0,-1.0,5.0,0.5885893708134431,1.0,-1314,1314,0.0,0.0,0.0,0.37833333333333335
1.0,-1.0,5.0,0.5827325173346204,1.0,-1214,1214,0.0,0.0,0.0,0.3896363636363636
1.0,-1.0,5.0,0.5769339434210992,1.0,-1114,1114,0.0,0.0,0.0,0.4005357142857143
1.0,-1.0,5.0,0.5711930691526644,1.0,-1014,1014,0.0,0.0,0.0,0.4110526315789474
1.0,-1.0,5.0,0.565509320379691,1.0,-914,914,0.0,0.0,0.0,0.42120689655172416
1.0,-1.0,5.0,0.5598821286657205,1.0,-814,814,0.0,0.0,0.0,0.43101694915254235
1.0,-1.0,5.0,0.5543109312306146,1.0,-714,714,0.0,0.0,0.0,0.4405
1.0,-1.0,5.0,0.5487951708942683,1.0,-614,614,0.0,0.0,0.0,0.449672131147541
1.0,-1.0,5.0,0.5433342960208886,1.0,-514,514,0.0,0.0,0.0,0.4585483870967742
1.0,-1.0,5.0,0.5379277604638235,1.0,-414,414,0.0,0.0,0.0,0.46714285714285714
1.0,-1.0,5.0,0.5325750235109391,1.0,-314,314,0.0,0.0,0.0,0.47546875
1.0,-1.0,5.0,0.5272755498305473,1.0,-214,214,0.0,0.0,0.0,0.48353846153846153
1.0,-1.0,5.0,0.5220288094178624,1.0,-114,114,0.0,0.0,0.0,0.4913636363636364
1.0,-1.0,5.0,0.5168342775419988,1.0,-14,14,0.0,0.0,0.0,0.498955223880597
1.0,-1.0,5.0,0.5116914346934888,1.0,86,-86,0.0,0.0,0.0,0.5063235294117647
1.0,-1.0,5.0,0.506599766532328,1.0,186,-186,0.0,0.0,0.0,0.5134782608695653
1.0,-1.0,5.0,0.5015587638365347,1.0,286,-286,0.0,0.0,0.0,0.5204285714285715
1.0,-1.0,5.0,0.496567922451223,1.0,386,-386,0.0,0.0,0.0,0.5271830985915493
1.0,-1.0,5.0,0.4916267432381818,1.0,486,-486,0.0,0.0,0.0,0.53375
1.0,-1.0,5.0,0.4867347320259549,1.0,586,-586,0.0,0.0,0.0,0.5401369863013699
1.0,-1.0,5.0,0.48189139956041893,1.0,686,-686,0.0,0.0,0.0,0.5463513513513514
1.0,-1.0,5.0,0.4770962614558525,1.0,786,-786,0.0,0.0,0.0,0.5524
1.0,-1.0,5.0,0.4723488381464926,1.0,886,-886,0.0,0.0,0.0,0.5582894736842106
1.0,-1.0,5.0,0.467648654838573,1.0,986,-986,0.0,0.0,0.0,0.564025974025974
1.0,-1.0,5.0,0.46299524146283894,1.0,1086,-1086,0.0,0.0,0.0,0.5696153846153846
1.0,-1.0,5.0,0.4583881326275357,1.0,1186,-1186,0.0,0.0,0.0,0.5750632911392405
1.0,-1.0,5.0,0.45382686757186447,1.0,1286,-1286,0.0,0.0,0.0,0.580375
1.0,-1.0,5.0,0.4493109901199013,1.0,1386,-1386,0.0,0.0,0.0,0.5855555555555556
