avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.46,0.46,6.61,1,0.27,-46,46,0.0,0.0,0.0,0.27
-0.38,0.38,6.35,0.9900493386913721,0.31,-84,84,0.0,0.0,0.0,0.29
-0.54,0.54,6.11,0.980197693043223,0.23,-138,138,0.0,0.0,0.0,0.27
-0.48,0.48,6.29,0.970444077784251,0.26,-186,186,0.0,0.0,0.0,0.2675
-0.56,0.56,5.81,0.9607875174472562,0.22,-242,242,0.0,0.0,0.0,0.258
-0.9,0.9,5.78,0.9512270462715811,0.05,-332,332,0.0,0.0,0.0,0.22333333333333333
-1.0,1.0,5.93,0.9417617081065252,0.05,-432,432,0.0,0.0,0.0,0.19142857142857142
-1.0,1.0,6.47,0.9323905563157222,0.05,-532,532,0.0,0.0,0.0,0.1675
-0.96,0.96,6.01,0.9231126536824614,0.02,-628,628,0.0,0.0,0.0,0.1511111111111111
-0.56,0.56,6.11,0.9139270723159584,0.22,-684,684,0.0,0.0,0.0,0.158
-0.52,0.52,6.03,0.9048328935585562,0.24,-784,784,0.0,0.0,0.0,0.17333333333333334
-0.96,0.96,6.27,0.8958292078938495,0.02,-880,880,0.0,0.0,0.0,0.16153846153846155
-1.0,1.0,6.18,0.886915114855721,0.02,-980,980,0.0,0.0,0.0,0.15
-0.98,0.98,5.21,0.8780897229382887,0.01,-1078,1078,0.0,0.0,0.0,0.14066666666666666
-0.64,0.64,5.89,0.8693521495067424,0.18,-1142,1142,0.0,0.0,0.0,0.143125
-0.98,0.98,6.43,0.8607015207090729,0.01,-1240,1240,0.0,0.0,0.0,0.13529411764705881
-0.88,0.88,6.77,0.8521369713886755,0.06,-1328,1328,0.0,0.0,0.0,0.13111111111111112
-0.6,0.6,5.77,0.843657644997827,0.2,-1388,1388,0.0,0.0,0.0,0.13473684210526315
-0.38,0.38,6.57,0.8352626935120188,0.31,-1426,1426,0.0,0.0,0.0,0.1435
-0.54,0.54,5.88,0.8269512773451482,0.23,-1480,1480,0.0,0.0,0.0,0.14761904761904762
-0.56,0.56,5.67,0.8187225652655491,0.22,-1584,1584,0.0,0.0,0.0,0.15565217391304348
-0.72,0.72,6.05,0.8105757343128605,0.14,-1656,1656,0.0,0.0,0.0,0.155
-0.6,0.6,5.82,0.8025099697157205,0.2,-1716,1716,0.0,0.0,0.0,0.1568
-0.58,0.58,5.59,0.7945244648102819,0.21,-1774,1774,0.0,0.0,0.0,0.15884615384615386
-0.42,0.42,5.87,0.7866184209595359,0.29,-1816,1816,0.0,0.0,0.0,0.1637037037037037
-0.4,0.4,6.41,0.7787910474734399,0.3,-1856,1856,0.0,0.0,0.0,0.16857142857142857
-0.56,0.56,6.09,0.7710415615298397,0.22,-1912,1912,0.0,0.0,0.0,0.1703448275862069
-0.56,0.56,5.89,0.7633691880961806,0.22,-1968,1968,0.0,0.0,0.0,0.172
-0.56,0.56,5.88,0.7557731598519929,0.22,-2024,2024,0.0,0.0,0.0,0.1735483870967742
-0.42,0.42,6.49,0.748252717112154,0.29,-2066,2066,0.0,0.0,0.0,0.1771875
-0.38,0.38,7.05,0.74080710775091,0.31,-2184,2184,0.0,0.0,0.0,0.17882352941176471
-0.44,0.44,6.56,0.7334355871266565,0.28,-2228,2228,0.0,0.0,0.0,0.18171428571428572
-0.44,0.44,6.21,0.7261374180074647,0.28,-2272,2272,0.0,0.0,0.0,0.18444444444444444
-0.5,0.5,6.71,0.7189118704973512,0.25,-2322,2322,0.0,0.0,0.0,0.18621621621621623
-0.62,0.62,5.07,0.7117582219632792,0.19,-2384,2384,0.0,0.0,0.0,0.1863157894736842
-0.5,0.5,6.05,0.7046757569628911,0.25,-2434,2434,0.0,0.0,0.0,0.18794871794871795
-0.46,0.46,6.54,0.697663767172952,0.27,-2480,2480,0.0,0.0,0.0,0.19
-0.5,0.5,6.6,0.6907215513185129,0.25,-2530,2530,0.0,0.0,0.0,0.19146341463414634
-0.32,0.32,6.94,0.6838484151027725,0.34,-2562,2562,0.0,0.0,0.0,0.195
-0.4,0.4,6.57,0.6770436711376424,0.3,-2602,2602,0.0,0.0,0.0,0.19744186046511628
-0.48,0.48,6.21,0.6703066388750015,0.26,-2700,2700,0.0,0.0,0.0,0.2
-0.38,0.38,6.97,0.6636366445386316,0.31,-2738,2738,0.0,0.0,0.0,0.2023913043478261
-0.58,0.58,5.83,0.657033021056833,0.21,-2796,2796,0.0,0.0,0.0,0.2025531914893617
-0.42,0.42,6.68,0.6504951079957114,0.29,-2838,2838,0.0,0.0,0.0,0.204375
-0.46,0.46,6.3,0.6440222514931265,0.27,-2884,2884,0.0,0.0,0.0,0.2057142857142857
-0.36,0.36,6.39,0.6376138041932984,0.32,-2920,2920,0.0,0.0,0.0,0.208
-0.46,0.46,6.36,0.6312691251820646,0.27,-2966,2966,0.0,0.0,0.0,0.20921568627450982
-0.36,0.36,6.72,0.6249875799227835,0.32,-3002,3002,0.0,0.0,0.0,0.21134615384615385
-0.44,0.44,6.33,0.6187685401928729,0.28,-3046,3046,0.0,0.0,0.0,0.21264150943396226
-0.46,0.46,6.78,0.6126113840209793,0.27,-3092,3092,0.0,0.0,0.0,0.2137037037037037
-0.42,0.42,6.17,0.6065154956247766,0.29,-3158,3158,0.0,0.0,0.0,0.21803571428571428
-0.38,0.38,6.36,0.6004802653493791,0.31,-3196,3196,0.0,0.0,0.0,0.21964912280701754
-0.28,0.28,7.54,0.594505089606372,0.36,-3224,3224,0.0,0.0,0.0,0.22206896551724137
-0.32,0.32,7.07,0.5885893708134431,0.34,-3256,3256,0.0,0.0,0.0,0.22406779661016948
-0.52,0.52,6.42,0.5827325173346204,0.24,-3308,3308,0.0,0.0,0.0,0.22433333333333333
-0.4,0.4,6.32,0.5769339434210992,0.3,-3348,3348,0.0,0.0,0.0,0.22557377049180327
-0.54,0.54,5.87,0.5711930691526644,0.23,-3402,3402,0.0,0.0,0.0,0.22564516129032258
-0.56,0.56,6.01,0.565509320379691,0.22,-3458,3458,0.0,0.0,0.0,0.22555555555555556
-0.5,0.5,6.31,0.5598821286657205,0.25,-3508,3508,0.0,0.0,0.0,0.2259375
-0.56,0.56,5.97,0.5543109312306146,0.22,-3564,3564,0.0,0.0,0.0,0.22584615384615384
-0.44,0.44,6.07,0.5487951708942683,0.28,-3658,3658,0.0,0.0,0.0,0.22701492537313434
-0.3,0.3,6.6,0.5433342960208886,0.35,-3688,3688,0.0,0.0,0.0,0.2288235294117647
-0.36,0.36,6.8,0.5379277604638235,0.32,-3724,3724,0.0,0.0,0.0,0.2301449275362319
-0.36,0.36,7.13,0.5325750235109391,0.32,-3760,3760,0.0,0.0,0.0,0.23142857142857143
-0.36,0.36,6.71,0.5272755498305473,0.32,-3796,3796,0.0,0.0,0.0,0.23267605633802818
-0.52,0.52,6.62,0.5220288094178624,0.24,-3848,3848,0.0,0.0,0.0,0.23277777777777778
-0.74,0.74,7.75,0.5168342775419988,0.13,-3922,3922,0.0,0.0,0.0,0.23136986301369863
-0.46,0.46,5.77,0.5116914346934888,0.27,-3968,3968,0.0,0.0,0.0,0.23189189189189188
-0.42,0.42,6.14,0.506599766532328,0.29,-4010,4010,0.0,0.0,0.0,0.23266666666666666
-0.5,0.5,6.07,0.5015587638365347,0.25,-4060,4060,0.0,0.0,0.0,0.23289473684210527
-0.54,0.54,5.89,0.496567922451223,0.23,-4162,4162,0.0,0.0,0.0,0.2332051282051282
-0.44,0.44,6.38,0.4916267432381818,0.28,-4206,4206,0.0,0.0,0.0,0.23379746835443038
-0.9,0.9,7.42,0.4867347320259549,0.05,-4296,4296,0.0,0.0,0.0,0.2315
-0.38,0.38,6.48,0.48189139956041893,0.31,-4334,4334,0.0,0.0,0.0,0.23246913580246914
-0.44,0.44,6.42,0.4770962614558525,0.28,-4378,4378,0.0,0.0,0.0,0.2330487804878049
-0.6,0.6,6.09,0.4723488381464926,0.2,-4438,4438,0.0,0.0,0.0,0.23265060240963856
-0.42,0.42,6.52,0.467648654838573,0.29,-4480,4480,0.0,0.0,0.0,0.23333333333333334
-0.46,0.46,6.83,0.46299524146283894,0.27,-4526,4526,0.0,0.0,0.0,0.23376470588235293
-0.42,0.42,6.72,0.4583881326275357,0.29,-4568,4568,0.0,0.0,0.0,0.2344186046511628
-0.38,0.38,6.47,0.45382686757186447,0.31,-4606,4606,0.0,0.0,0.0,0.2352873563218391
-0.64,0.64,5.65,0.4493109901199013,0.18,-4718,4718,0.0,0.0,0.0,0.2349438202247191
-0.54,0.54,6.22,0.44484004863497356,0.23,-4772,4772,0.0,0.0,0.0,0.2348888888888889
-0.44,0.44,6.16,0.4404135959744933,0.28,-4816,4816,0.0,0.0,0.0,0.2353846153846154
-0.4,0.4,6.72,0.4360311894452362,0.3,-4856,4856,0.0,0.0,0.0,0.23608695652173914
-0.52,0.52,5.88,0.4316923907590687,0.24,-4908,4908,0.0,0.0,0.0,0.2361290322580645
-0.54,0.54,5.91,0.42739676598911336,0.23,-4962,4962,0.0,0.0,0.0,0.23606382978723403
-0.38,0.38,6.41,0.42314388552635285,0.31,-5000,5000,0.0,0.0,0.0,0.23684210526315788
-0.46,0.46,6.05,0.4189333240366638,0.27,-5046,5046,0.0,0.0,0.0,0.2371875
-0.44,0.44,6.32,0.41476466041827703,0.28,-5090,5090,0.0,0.0,0.0,0.23762886597938143
-0.46,0.46,5.92,0.41063747775966636,0.27,-5136,5136,0.0,0.0,0.0,0.23795918367346938
