avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.72,0.72,5.96,1,0.14,-72,72,0.0,0.0,0.0,0.14
-0.84,0.84,6.14,0.9900493386913721,0.08,-156,156,0.0,0.0,0.0,0.11
-0.82,0.82,5.53,0.980197693043223,0.09,-238,238,0.0,0.0,0.0,0.10333333333333333
-0.74,0.74,6.31,0.970444077784251,0.13,-312,312,0.0,0.0,0.0,0.11
-0.8,0.8,5.12,0.9607875174472562,0.1,-392,392,0.0,0.0,0.0,0.108
-0.78,0.78,5.39,0.9512270462715811,0.11,-470,470,0.0,0.0,0.0,0.10833333333333334
-0.8,0.8,6.37,0.9417617081065252,0.1,-550,550,0.0,0.0,0.0,0.10714285714285714
-0.8,0.8,6.2,0.9323905563157222,0.1,-630,630,0.0,0.0,0.0,0.10625
-0.82,0.82,5.58,0.9231126536824614,0.09,-712,712,0.0,0.0,0.0,0.10444444444444445
-0.82,0.82,6.01,0.9139270723159584,0.09,-794,794,0.0,0.0,0.0,0.103
-0.82,0.82,5.62,0.9048328935585562,0.09,-876,876,0.0,0.0,0.0,0.10181818181818182
-0.76,0.76,5.81,0.8958292078938495,0.12,-952,952,0.0,0.0,0.0,0.10333333333333333
-0.7,0.7,6.49,0.886915114855721,0.15,-1022,1022,0.0,0.0,0.0,0.10692307692307693
-0.76,0.76,6.32,0.8780897229382887,0.12,-1098,1098,0.0,0.0,0.0,0.10785714285714286
-0.94,0.94,5.53,0.8693521495067424,0.03,-1192,1192,0.0,0.0,0.0,0.10266666666666667
-0.8,0.8,5.81,0.8607015207090729,0.1,-1272,1272,0.0,0.0,0.0,0.1025
-0.8,0.8,6.09,0.8521369713886755,0.1,-1352,1352,0.0,0.0,0.0,0.10235294117647059
-0.78,0.78,5.62,0.843657644997827,0.11,-1430,1430,0.0,0.0,0.0,0.10277777777777777
-0.84,0.84,6.23,0.8352626935120188,0.08,-1514,1514,0.0,0.0,0.0,0.10157894736842105
-0.7,0.7,6.43,0.8269512773451482,0.15,-1584,1584,0.0,0.0,0.0,0.104
-0.98,0.98,6.39,0.8187225652655491,0.01,-1682,1682,0.0,0.0,0.0,0.09952380952380953
-0.86,0.86,6.27,0.8105757343128605,0.07,-1768,1768,0.0,0.0,0.0,0.09818181818181818
-0.94,0.94,6.01,0.8025099697157205,0.03,-1862,1862,0.0,0.0,0.0,0.09521739130434782
-1.0,1.0,6.57,0.7945244648102819,0.03,-1962,1962,0.0,0.0,0.0,0.09125
-0.84,0.84,5.84,0.7866184209595359,0.08,-2046,2046,0.0,0.0,0.0,0.0908
-0.88,0.88,5.04,0.7787910474734399,0.06,-2134,2134,0.0,0.0,0.0,0.08961538461538461
-0.8,0.8,6.16,0.7710415615298397,0.1,-2214,2214,0.0,0.0,0.0,0.09
-0.88,0.88,5.57,0.7633691880961806,0.06,-2302,2302,0.0,0.0,0.0,0.08892857142857143
-0.72,0.72,6.72,0.7557731598519929,0.14,-2374,2374,0.0,0.0,0.0,0.0906896551724138
-0.8,0.8,6.12,0.748252717112154,0.1,-2454,2454,0.0,0.0,0.0,0.091
-0.76,0.76,5.97,0.74080710775091,0.12,-2530,2530,0.0,0.0,0.0,0.09193548387096774
-0.74,0.74,6.5,0.7334355871266565,0.13,-2604,2604,0.0,0.0,0.0,0.093125
-0.78,0.78,5.67,0.7261374180074647,0.11,-2682,2682,0.0,0.0,0.0,0.09363636363636364
-0.76,0.76,6.54,0.7189118704973512,0.12,-2758,2758,0.0,0.0,0.0,0.09441176470588235
-0.82,0.82,5.99,0.7117582219632792,0.09,-2840,2840,0.0,0.0,0.0,0.09428571428571429
-0.78,0.78,5.98,0.7046757569628911,0.11,-2918,2918,0.0,0.0,0.0,0.09472222222222222
-0.92,0.92,5.58,0.697663767172952,0.04,-3010,3010,0.0,0.0,0.0,0.09324324324324325
-0.84,0.84,4.63,0.6907215513185129,0.08,-3094,3094,0.0,0.0,0.0,0.09289473684210527
-0.74,0.74,6.65,0.6838484151027725,0.13,-3168,3168,0.0,0.0,0.0,0.09384615384615384
-0.82,0.82,6.26,0.6770436711376424,0.09,-3250,3250,0.0,0.0,0.0,0.09375
-0.82,0.82,5.49,0.6703066388750015,0.09,-3332,3332,0.0,0.0,0.0,0.09365853658536585
-0.76,0.76,6.39,0.6636366445386316,0.12,-3408,3408,0.0,0.0,0.0,0.09428571428571429
-0.82,0.82,5.63,0.657033021056833,0.09,-3490,3490,0.0,0.0,0.0,0.0941860465116279
-0.76,0.76,5.46,0.6504951079957114,0.12,-3566,3566,0.0,0.0,0.0,0.09477272727272727
-0.74,0.74,6.05,0.6440222514931265,0.13,-3640,3640,0.0,0.0,0.0,0.09555555555555556
-0.8,0.8,6.85,0.6376138041932984,0.1,-3720,3720,0.0,0.0,0.0,0.09565217391304348
-0.74,0.74,6.29,0.6312691251820646,0.13,-3794,3794,0.0,0.0,0.0,0.09638297872340426
-0.72,0.72,6.34,0.6249875799227835,0.14,-3866,3866,0.0,0.0,0.0,0.09729166666666667
-0.84,0.84,5.33,0.6187685401928729,0.08,-3950,3950,0.0,0.0,0.0,0.09693877551020408
-0.78,0.78,5.78,0.6126113840209793,0.11,-4028,4028,0.0,0.0,0.0,0.0972
-0.82,0.82,6.2,0.6065154956247766,0.09,-4110,4110,0.0,0.0,0.0,0.09705882352941177
-0.82,0.82,5.77,0.6004802653493791,0.09,-4192,4192,0.0,0.0,0.0,0.09692307692307692
-0.8,0.8,6.49,0.594505089606372,0.1,-4272,4272,0.0,0.0,0.0,0.0969811320754717
-0.94,0.94,6.03,0.5885893708134431,0.03,-4366,4366,0.0,0.0,0.0,0.09574074074074074
-0.78,0.78,6.11,0.5827325173346204,0.11,-4444,4444,0.0,0.0,0.0,0.096
-0.88,0.88,5.76,0.5769339434210992,0.06,-4532,4532,0.0,0.0,0.0,0.09535714285714286
-0.78,0.78,6.71,0.5711930691526644,0.11,-4610,4610,0.0,0.0,0.0,0.0956140350877193
-0.84,0.84,5.76,0.565509320379691,0.08,-4694,4694,0.0,0.0,0.0,0.0953448275862069
-0.76,0.76,7.01,0.5598821286657205,0.12,-4770,4770,0.0,0.0,0.0,0.09576271186440678
-0.8,0.8,6.5,0.5543109312306146,0.1,-4850,4850,0.0,0.0,0.0,0.09583333333333334
-0.82,0.82,5.48,0.5487951708942683,0.09,-4932,4932,0.0,0.0,0.0,0.09573770491803278
