avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.26,0.26,4.83,1,0.37,-26,26,0.0,0.0,0.0,0.37
-0.18,0.18,5.05,0.9900493386913721,0.41,-44,44,0.0,0.0,0.0,0.39
-0.18,0.18,5.0,0.980197693043223,0.41,-62,62,0.0,0.0,0.0,0.39666666666666667
-0.08,0.08,5.39,0.970444077784251,0.46,-70,70,0.0,0.0,0.0,0.4125
-0.28,0.28,4.73,0.9607875174472562,0.36,-98,98,0.0,0.0,0.0,0.402
-0.1,0.1,5.08,0.9512270462715811,0.45,-108,108,0.0,0.0,0.0,0.41
-0.72,0.72,5.57,0.9417617081065252,0.14,-180,180,0.0,0.0,0.0,0.37142857142857144
-0.52,0.52,5.38,0.9323905563157222,0.24,-232,232,0.0,0.0,0.0,0.355
0.36,-0.36,4.19,0.9231126536824614,0.68,-196,196,0.0,0.0,0.0,0.39111111111111113
0.34,-0.34,4.15,0.9139270723159584,0.67,-162,162,0.0,0.0,0.0,0.419
0.36,-0.36,4.14,0.9048328935585562,0.68,-76,76,0.0,0.0,0.0,0.4683333333333333
0.3,-0.3,4.06,0.8958292078938495,0.65,-46,46,0.0,0.0,0.0,0.4823076923076923
0.32,-0.32,4.14,0.886915114855721,0.66,-14,14,0.0,0.0,0.0,0.495
0.2,-0.2,4.0,0.8780897229382887,0.6,6,-6,0.0,0.0,0.0,0.502
0.6,-0.6,3.6,0.8693521495067424,0.8,66,-66,0.0,0.0,0.0,0.520625
1.0,-1.0,3.0,0.8607015207090729,1.0,166,-166,0.0,0.0,0.0,0.5488235294117647
1.0,-1.0,3.0,0.8521369713886755,1.0,266,-266,0.0,0.0,0.0,0.5738888888888889
1.0,-1.0,3.0,0.843657644997827,1.0,366,-366,0.0,0.0,0.0,0.5963157894736842
1.0,-1.0,3.0,0.8352626935120188,1.0,466,-466,0.0,0.0,0.0,0.6165
1.0,-1.0,3.0,0.8269512773451482,1.0,566,-566,0.0,0.0,0.0,0.6347619047619047
1.0,-1.0,3.0,0.8187225652655491,1.0,766,-766,0.0,0.0,0.0,0.6665217391304348
1.0,-1.0,3.0,0.8105757343128605,1.0,866,-866,0.0,0.0,0.0,0.6804166666666667
1.0,-1.0,3.0,0.8025099697157205,1.0,966,-966,0.0,0.0,0.0,0.6932
1.0,-1.0,3.0,0.7945244648102819,1.0,1066,-1066,0.0,0.0,0.0,0.705
1.0,-1.0,3.0,0.7866184209595359,1.0,1166,-1166,0.0,0.0,0.0,0.715925925925926
0.46,-0.46,3.73,0.7787910474734399,0.73,1212,-1212,0.0,0.0,0.0,0.7164285714285714
