avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.68,0.68,4.83,1,0.16,-68,68,0.0,0.0,0.0,0.16
-0.66,0.66,4.72,0.9900493386913721,0.17,-134,134,0.0,0.0,0.0,0.165
-0.44,0.44,5.72,0.980197693043223,0.28,-178,178,0.0,0.0,0.0,0.20333333333333334
-0.74,0.74,4.38,0.970444077784251,0.13,-252,252,0.0,0.0,0.0,0.185
-0.46,0.46,5.45,0.9607875174472562,0.27,-298,298,0.0,0.0,0.0,0.202
-0.6,0.6,5.16,0.9512270462715811,0.2,-358,358,0.0,0.0,0.0,0.20166666666666666
-0.4,0.4,5.22,0.9417617081065252,0.3,-398,398,0.0,0.0,0.0,0.21571428571428572
-0.32,0.32,5.13,0.9323905563157222,0.34,-430,430,0.0,0.0,0.0,0.23125
-0.32,0.32,5.1,0.9231126536824614,0.34,-462,462,0.0,0.0,0.0,0.24333333333333335
-0.38,0.38,5.35,0.9139270723159584,0.31,-500,500,0.0,0.0,0.0,0.25
-0.16,0.16,4.94,0.9048328935585562,0.42,-516,516,0.0,0.0,0.0,0.26545454545454544
0.04,-0.04,4.52,0.8958292078938495,0.52,-512,512,0.0,0.0,0.0,0.2866666666666667
-0.08,0.08,4.35,0.886915114855721,0.46,-520,520,0.0,0.0,0.0,0.3
0.46,-0.46,4.33,0.8780897229382887,0.73,-474,474,0.0,0.0,0.0,0.33071428571428574
0.42,-0.42,4.25,0.8693521495067424,0.71,-432,432,0.0,0.0,0.0,0.356
0.26,-0.26,4.04,0.8607015207090729,0.63,-406,406,0.0,0.0,0.0,0.373125
0.44,-0.44,4.25,0.8521369713886755,0.72,-362,362,0.0,0.0,0.0,0.3935294117647059
1.0,-1.0,3.0,0.843657644997827,1.0,-262,262,0.0,0.0,0.0,0.4272222222222222
1.0,-1.0,3.0,0.8352626935120188,1.0,-162,162,0.0,0.0,0.0,0.4573684210526316
1.0,-1.0,3.0,0.8269512773451482,1.0,-62,62,0.0,0.0,0.0,0.4845
1.0,-1.0,3.0,0.8187225652655491,1.0,38,-38,0.0,0.0,0.0,0.5090476190476191
1.0,-1.0,3.0,0.8105757343128605,1.0,138,-138,0.0,0.0,0.0,0.5313636363636364
1.0,-1.0,3.0,0.8025099697157205,1.0,238,-238,0.0,0.0,0.0,0.5517391304347826
1.0,-1.0,3.0,0.7945244648102819,1.0,338,-338,0.0,0.0,0.0,0.5704166666666667
1.0,-1.0,3.0,0.7866184209595359,1.0,438,-438,0.0,0.0,0.0,0.5876
1.0,-1.0,3.0,0.7787910474734399,1.0,538,-538,0.0,0.0,0.0,0.6034615384615385
1.0,-1.0,3.0,0.7710415615298397,1.0,638,-638,0.0,0.0,0.0,0.6181481481481481
1.0,-1.0,3.0,0.7633691880961806,1.0,738,-738,0.0,0.0,0.0,0.6317857142857143
1.0,-1.0,3.0,0.7557731598519929,1.0,838,-838,0.0,0.0,0.0,0.6444827586206896
1.0,-1.0,3.0,0.748252717112154,1.0,938,-938,0.0,0.0,0.0,0.6563333333333333
1.0,-1.0,3.0,0.74080710775091,1.0,1038,-1038,0.0,0.0,0.0,0.6674193548387096
1.0,-1.0,3.0,0.7334355871266565,1.0,1138,-1138,0.0,0.0,0.0,0.6778125
1.0,-1.0,3.0,0.7261374180074647,1.0,1238,-1238,0.0,0.0,0.0,0.6875757575757576
1.0,-1.0,3.0,0.7189118704973512,1.0,1338,-1338,0.0,0.0,0.0,0.696764705882353
1.0,-1.0,3.0,0.7117582219632792,1.0,1438,-1438,0.0,0.0,0.0,0.7054285714285714
1.0,-1.0,3.0,0.7046757569628911,1.0,1538,-1538,0.0,0.0,0.0,0.7136111111111111
1.0,-1.0,3.0,0.697663767172952,1.0,1638,-1638,0.0,0.0,0.0,0.7213513513513513
1.0,-1.0,3.0,0.6907215513185129,1.0,1738,-1738,0.0,0.0,0.0,0.7286842105263158
1.0,-1.0,3.0,0.6838484151027725,1.0,1838,-1838,0.0,0.0,0.0,0.7356410256410256
-0.04,0.04,4.9,0.6770436711376424,0.48,1834,-1834,0.0,0.0,0.0,0.72925
0.18,-0.18,5.19,0.6703066388750015,0.59,1852,-1852,0.0,0.0,0.0,0.7258536585365853
0.24,-0.24,4.37,0.6636366445386316,0.62,1876,-1876,0.0,0.0,0.0,0.7233333333333334
-0.3,0.3,5.71,0.657033021056833,0.35,1846,-1846,0.0,0.0,0.0,0.7146511627906976
0.74,-0.74,3.87,0.6504951079957114,0.87,1920,-1920,0.0,0.0,0.0,0.7181818181818181
0.28,-0.28,4.43,0.6440222514931265,0.64,1948,-1948,0.0,0.0,0.0,0.7164444444444444
0.06,-0.06,5.05,0.6376138041932984,0.53,1954,-1954,0.0,0.0,0.0,0.712391304347826
1.0,-1.0,3.0,0.6312691251820646,1.0,2054,-2054,0.0,0.0,0.0,0.7185106382978723
1.0,-1.0,3.0,0.6249875799227835,1.0,2154,-2154,0.0,0.0,0.0,0.724375
0.06,-0.06,4.26,0.6187685401928729,0.53,2160,-2160,0.0,0.0,0.0,0.7204081632653061
0.7,-0.7,3.85,0.6126113840209793,0.85,2230,-2230,0.0,0.0,0.0,0.723
0.14,-0.14,5.13,0.6065154956247766,0.57,2244,-2244,0.0,0.0,0.0,0.72
-0.48,0.48,5.91,0.6004802653493791,0.26,2196,-2196,0.0,0.0,0.0,0.7111538461538461
0.16,-0.16,5.14,0.594505089606372,0.58,2212,-2212,0.0,0.0,0.0,0.7086792452830188
1.0,-1.0,3.0,0.5885893708134431,1.0,2312,-2312,0.0,0.0,0.0,0.7140740740740741
0.54,-0.54,3.77,0.5827325173346204,0.77,2366,-2366,0.0,0.0,0.0,0.7150909090909091
1.0,-1.0,3.0,0.5769339434210992,1.0,2466,-2466,0.0,0.0,0.0,0.7201785714285714
0.24,-0.24,4.45,0.5711930691526644,0.62,2490,-2490,0.0,0.0,0.0,0.718421052631579
0.0,0.0,4.88,0.565509320379691,0.5,2490,-2490,0.0,0.0,0.0,0.7146551724137931
1.0,-1.0,3.0,0.5598821286657205,1.0,2590,-2590,0.0,0.0,0.0,0.7194915254237289
1.0,-1.0,3.0,0.5543109312306146,1.0,2690,-2690,0.0,0.0,0.0,0.7241666666666666
1.0,-1.0,3.0,0.5487951708942683,1.0,2790,-2790,0.0,0.0,0.0,0.728688524590164
-0.82,0.82,5.76,0.5433342960208886,0.09,2708,-2708,0.0,0.0,0.0,0.7183870967741935
1.0,-1.0,3.0,0.5379277604638235,1.0,2808,-2808,0.0,0.0,0.0,0.7228571428571429
1.0,-1.0,3.0,0.5325750235109391,1.0,2908,-2908,0.0,0.0,0.0,0.7271875
1.0,-1.0,3.0,0.5272755498305473,1.0,3008,-3008,0.0,0.0,0.0,0.7313846153846154
1.0,-1.0,3.0,0.5220288094178624,1.0,3108,-3108,0.0,0.0,0.0,0.7354545454545455
0.58,-0.58,3.79,0.5168342775419988,0.79,3166,-3166,0.0,0.0,0.0,0.736268656716418
1.0,-1.0,3.0,0.5116914346934888,1.0,3266,-3266,0.0,0.0,0.0,0.7401470588235294
0.54,-0.54,3.77,0.506599766532328,0.77,3320,-3320,0.0,0.0,0.0,0.7405797101449275
1.0,-1.0,3.0,0.5015587638365347,1.0,3420,-3420,0.0,0.0,0.0,0.7442857142857143
0.26,-0.26,4.47,0.496567922451223,0.63,3446,-3446,0.0,0.0,0.0,0.7426760563380281
-0.14,0.14,4.91,0.4916267432381818,0.43,3432,-3432,0.0,0.0,0.0,0.7383333333333333
-0.26,0.26,5.34,0.4867347320259549,0.37,3406,-3406,0.0,0.0,0.0,0.7332876712328767
0.28,-0.28,4.45,0.48189139956041893,0.64,3434,-3434,0.0,0.0,0.0,0.732027027027027
0.4,-0.4,3.7,0.4770962614558525,0.7,3474,-3474,0.0,0.0,0.0,0.7316
0.54,-0.54,3.77,0.4723488381464926,0.77,3528,-3528,0.0,0.0,0.0,0.7321052631578947
0.42,-0.42,4.56,0.467648654838573,0.71,3570,-3570,0.0,0.0,0.0,0.7318181818181818
-0.26,0.26,5.2,0.46299524146283894,0.37,3544,-3544,0.0,0.0,0.0,0.7271794871794872
0.3,-0.3,4.44,0.4583881326275357,0.65,3574,-3574,0.0,0.0,0.0,0.7262025316455696
1.0,-1.0,3.0,0.45382686757186447,1.0,3674,-3674,0.0,0.0,0.0,0.729625
0.52,-0.52,3.76,0.4493109901199013,0.76,3726,-3726,0.0,0.0,0.0,0.73
0.0,0.0,5.0,0.44484004863497356,0.5,3726,-3726,0.0,0.0,0.0,0.7271951219512195
1.0,-1.0,3.0,0.4404135959744933,1.0,3826,-3826,0.0,0.0,0.0,0.7304819277108434
-0.24,0.24,5.2,0.4360311894452362,0.38,3802,-3802,0.0,0.0,0.0,0.7263095238095238
-0.06,0.06,5.02,0.4316923907590687,0.47,3796,-3796,0.0,0.0,0.0,0.7232941176470589
-0.28,0.28,5.33,0.42739676598911336,0.36,3768,-3768,0.0,0.0,0.0,0.7190697674418605
-0.14,0.14,5.43,0.42314388552635285,0.43,3754,-3754,0.0,0.0,0.0,0.7157471264367816
0.06,-0.06,4.96,0.4189333240366638,0.53,3760,-3760,0.0,0.0,0.0,0.7136363636363636
0.2,-0.2,4.36,0.41476466041827703,0.6,3780,-3780,0.0,0.0,0.0,0.7123595505617978
0.32,-0.32,4.45,0.41063747775966636,0.66,3812,-3812,0.0,0.0,0.0,0.7117777777777777
-0.36,0.36,5.71,0.4065513632978508,0.32,3776,-3776,0.0,0.0,0.0,0.7074725274725274
-0.38,0.38,6.11,0.40250590837711264,0.31,3738,-3738,0.0,0.0,0.0,0.7031521739130435
1.0,-1.0,3.0,0.39850070840813034,1.0,3838,-3838,0.0,0.0,0.0,0.7063440860215053
1.0,-1.0,3.0,0.39453536282751267,1.0,3938,-3938,0.0,0.0,0.0,0.7094680851063829
0.58,-0.58,3.79,0.3906094750577395,0.79,3996,-3996,0.0,0.0,0.0,0.7103157894736842
-0.46,0.46,5.37,0.3867226524674988,0.27,3950,-3950,0.0,0.0,0.0,0.7057291666666666
-0.24,0.24,5.35,0.38287450633242015,0.38,3926,-3926,0.0,0.0,0.0,0.7023711340206186
-0.36,0.36,5.08,0.3790646517961982,0.32,3890,-3890,0.0,0.0,0.0,0.698469387755102
-0.56,0.56,6.29,0.375292707832101,0.22,3834,-3834,0.0,0.0,0.0,0.6936363636363636
0.52,-0.52,3.76,0.37155829720486555,0.76,3886,-3886,0.0,0.0,0.0,0.6943
