avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.74,0.74,4.57,1,0.13,-74,74,0.0,0.0,0.0,0.13
-0.6,0.6,5.13,0.9900493386913721,0.2,-134,134,0.0,0.0,0.0,0.165
-0.44,0.44,5.74,0.980197693043223,0.28,-178,178,0.0,0.0,0.0,0.20333333333333334
-0.58,0.58,4.86,0.970444077784251,0.21,-236,236,0.0,0.0,0.0,0.205
-0.48,0.48,5.29,0.9607875174472562,0.26,-284,284,0.0,0.0,0.0,0.216
-0.78,0.78,4.28,0.9512270462715811,0.11,-362,362,0.0,0.0,0.0,0.19833333333333333
-0.54,0.54,5.38,0.9417617081065252,0.23,-416,416,0.0,0.0,0.0,0.20285714285714285
-0.58,0.58,5.32,0.9323905563157222,0.21,-474,474,0.0,0.0,0.0,0.20375
-0.48,0.48,5.66,0.9231126536824614,0.26,-522,522,0.0,0.0,0.0,0.21
-0.6,0.6,4.69,0.9139270723159584,0.2,-582,582,0.0,0.0,0.0,0.209
-0.68,0.68,4.24,0.9048328935585562,0.16,-716,716,0.0,0.0,0.0,0.20166666666666666
-0.52,0.52,5.2,0.8958292078938495,0.24,-768,768,0.0,0.0,0.0,0.20461538461538462
-0.5,0.5,5.16,0.886915114855721,0.25,-818,818,0.0,0.0,0.0,0.20785714285714285
-0.58,0.58,5.35,0.8780897229382887,0.21,-876,876,0.0,0.0,0.0,0.208
-0.56,0.56,5.16,0.8693521495067424,0.22,-932,932,0.0,0.0,0.0,0.20875
-0.82,0.82,4.87,0.8607015207090729,0.09,-1014,1014,0.0,0.0,0.0,0.20176470588235293
-0.58,0.58,5.4,0.8521369713886755,0.21,-1072,1072,0.0,0.0,0.0,0.20222222222222222
-0.48,0.48,5.4,0.843657644997827,0.26,-1120,1120,0.0,0.0,0.0,0.20526315789473684
-0.88,0.88,5.49,0.8352626935120188,0.06,-1208,1208,0.0,0.0,0.0,0.198
-0.64,0.64,5.21,0.8269512773451482,0.18,-1272,1272,0.0,0.0,0.0,0.19714285714285715
-0.48,0.48,5.49,0.8187225652655491,0.26,-1410,1410,0.0,0.0,0.0,0.1934782608695652
-0.7,0.7,4.92,0.8105757343128605,0.15,-1480,1480,0.0,0.0,0.0,0.19166666666666668
-0.74,0.74,6.44,0.8025099697157205,0.13,-1554,1554,0.0,0.0,0.0,0.1892
-0.6,0.6,5.29,0.7945244648102819,0.2,-1614,1614,0.0,0.0,0.0,0.1896153846153846
-0.7,0.7,5.96,0.7866184209595359,0.15,-1684,1684,0.0,0.0,0.0,0.18814814814814815
-0.46,0.46,5.07,0.7787910474734399,0.27,-1730,1730,0.0,0.0,0.0,0.19107142857142856
-0.52,0.52,5.22,0.7710415615298397,0.24,-1782,1782,0.0,0.0,0.0,0.19275862068965519
-0.54,0.54,5.12,0.7633691880961806,0.23,-1836,1836,0.0,0.0,0.0,0.194
-0.52,0.52,5.51,0.7557731598519929,0.24,-1888,1888,0.0,0.0,0.0,0.19548387096774195
